date,ensemble
2019-08-30,1108826.507034812
2019-09-03,1106769.873519207
2019-09-04,1116904.7119294032
2019-09-05,1126314.7610710373
2019-09-06,1130206.810916317
2019-09-09,1125590.299984167
2019-09-10,1122239.5383076554
2019-09-11,1129219.5376422673
2019-09-12,1129379.4873243752
2019-09-13,1125343.442756971
2019-09-16,1124509.616218794
2019-09-17,1132420.0029433174
2019-09-18,1132835.322142847
2019-09-19,1132561.0624641972
2019-09-20,1132996.2054175292
2019-09-23,1133302.5633707717
2019-09-24,1127354.9083897793
2019-09-25,1131292.436795314
2019-09-26,1132245.0825869075
2019-09-27,1123924.8582656872
2019-09-30,1131214.4269772484
2019-10-01,1113746.5352851746
2019-10-02,1103780.045414571
2019-10-03,1112017.4393736164
2019-10-04,1126437.3441493465
2019-10-07,1122670.073042226
2019-10-08,1104599.385337537
2019-10-09,1116816.6726228574
2019-10-10,1121745.905294618
2019-10-11,1134088.9738598033
2019-10-14,1130687.7033655406
2019-10-15,1143363.15366385
2019-10-16,1138595.476520753
2019-10-17,1148667.9123537303
2019-10-18,1148881.7058145762
2019-10-21,1158007.8541643382
2019-10-22,1148973.8131792308
2019-10-23,1146095.3029978038
2019-10-24,1161722.8838388682
2019-10-25,1162620.4321748973
2019-10-28,1170167.8155977488
2019-10-29,1171614.423496461
2019-10-30,1175855.400337434
2019-10-31,1170252.769478059
2019-11-01,1179169.085853791
2019-11-04,1176502.0629045726
2019-11-05,1179112.2363397838
2019-11-06,1186011.9832269908
2019-11-07,1180829.881763673
2019-11-08,1185889.1025087596
2019-11-11,1183045.0141870738
2019-11-12,1184619.3441850902
2019-11-13,1191098.4305422069
2019-11-14,1195651.847500062
2019-11-15,1210969.0294840098
2019-11-18,1205548.6740228892
2019-11-19,1204950.7469026805
2019-11-20,1194559.9839098216
2019-11-21,1179396.07421515
2019-11-22,1181047.6902162791
2019-11-25,1191144.5674669505
2019-11-26,1197914.4117815257
2019-11-27,1203263.5847704173
2019-11-29,1194422.3079530955
2019-12-02,1182612.7274324656
2019-12-03,1175445.3415491343
2019-12-04,1194737.8983766795
2019-12-05,1196640.248710847
2019-12-06,1205475.5710718394
2019-12-09,1200485.218155122
2019-12-10,1196409.937916017
2019-12-11,1203015.4825289012
2019-12-12,1211021.7752458812
2019-12-13,1208191.0897066356
2019-12-16,1217394.147400117
2019-12-17,1213563.7912485362
2019-12-18,1211502.8412210704
2019-12-19,1216294.596809602
2019-12-20,1224144.5743868111
2019-12-23,1223182.922210908
2019-12-24,1224224.522442079
2019-12-26,1226173.1562273265
2019-12-27,1225796.5233881236
2019-12-30,1223087.7619249583
2019-12-31,1228586.545471406
2020-01-02,1230488.605415559
2020-01-03,1225668.4699480296
2020-01-06,1221352.2341109898
2020-01-07,1218339.47956821
2020-01-08,1225766.8321258156
2020-01-09,1226573.4596684813
2020-01-10,1231339.568933185
2020-01-13,1235831.193975078
2020-01-14,1236272.3066452467
2020-01-15,1237356.028179707
2020-01-16,1249258.0134363254
2020-01-17,1249011.0933158249
2020-01-21,1247854.4060779614
2020-01-22,1249535.22291371
2020-01-23,1249037.866336079
2020-01-24,1238999.055635855
2020-01-27,1224446.170705607
2020-01-28,1231699.660468426
2020-01-29,1232581.1723866009
2020-01-30,1230035.937842461
2020-01-31,1205549.674447495
2020-02-03,1211730.7208775145
2020-02-04,1242302.9152733877
2020-02-05,1252948.88179174
2020-02-06,1262198.5310671916
2020-02-07,1248644.2946504112
2020-02-10,1258951.5962065882
2020-02-11,1267536.7288705525
2020-02-12,1273744.0896828752
2020-02-13,1274559.7411220518
2020-02-14,1282321.5568103767
2020-02-18,1276276.2363463389
2020-02-19,1284284.7239658914
2020-02-20,1278330.6864444262
2020-02-21,1265691.4325812575
2020-02-24,1226169.3694734112
2020-02-25,1183940.595302017
2020-02-26,1174190.7659427123
2020-02-27,1123740.9499190997
2020-02-28,1111707.4397771584
2020-03-02,1149595.9390866105
2020-03-03,1125170.6022176263
2020-03-04,1169480.875394735
2020-03-05,1122565.5666360776
2020-03-06,1101369.7826597155
2020-03-09,1015464.1242163436
2020-03-10,1014448.6665359474
2020-03-11,1008722.156817388
2020-03-12,1008629.1460102136
2020-03-13,1008629.1460102136
2020-03-16,1008629.1460102136
2020-03-17,1008629.1460102136
2020-03-18,1008629.1460102136
2020-03-19,1008629.1460102136
2020-03-20,1008629.1460102136
2020-03-23,1008629.1460102136
2020-03-24,1008629.1460102136
2020-03-25,1008629.1460102136
2020-03-26,1008629.1460102136
2020-03-27,1008629.1460102136
2020-03-30,1008629.1460102136
2020-03-31,1003429.9946155024
2020-04-01,981796.9874381132
2020-04-02,991391.0488715814
2020-04-03,982606.7305756258
2020-04-06,1036627.016939526
2020-04-07,1035955.6148022248
2020-04-08,1043616.5035837396
2020-04-09,1047882.7267481552
2020-04-13,1037309.071952945
2020-04-14,1055604.898346221
2020-04-15,1035280.4663250725
2020-04-16,1047932.4213029492
2020-04-17,1075933.0535240066
2020-04-20,1055617.4300701015
2020-04-21,1025045.6533412464
2020-04-22,1049213.466105576
2020-04-23,1052412.3106258595
2020-04-24,1069466.6733723271
2020-04-27,1097317.8954143708
2020-04-28,1080126.060427852
2020-04-29,1103754.4233130754
2020-04-30,1088679.4387906715
2020-05-01,1059411.1384731133
2020-05-04,1064149.414412147
2020-05-05,1082627.3695421545
2020-05-06,1080117.560134248
2020-05-07,1095787.3371258476
2020-05-08,1105278.1797447605
2020-05-11,1107989.5371021174
2020-05-12,1085075.5407010918
2020-05-13,1063671.3759707718
2020-05-14,1088321.9763494777
2020-05-15,1089355.0726525553
2020-05-18,1120652.4798411236
2020-05-19,1107228.4880158252
2020-05-20,1121511.8320942607
2020-05-21,1115163.2154736142
2020-05-22,1122469.455486801
2020-05-26,1145655.5748449306
2020-05-27,1160347.0747140064
2020-05-28,1161625.0961609078
2020-05-29,1173254.8370210752
2020-06-01,1182360.7289881925
2020-06-02,1189685.1672774495
2020-06-03,1204299.113960947
2020-06-04,1208573.0554002533
2020-06-05,1244316.7025185963
2020-06-08,1276476.7003501358
2020-06-09,1257205.8739906787
2020-06-10,1235546.3548062448
2020-06-11,1133325.348676717
2020-06-12,1163709.1378984535
2020-06-15,1175328.9736995916
2020-06-16,1196649.3069739542
2020-06-17,1187512.415766781
2020-06-18,1185740.415462182
2020-06-19,1174351.610331487
2020-06-22,1180173.0055742578
2020-06-23,1181753.66429486
2020-06-24,1140946.219801343
2020-06-25,1151506.2843540537
2020-06-26,1125165.610043354
2020-06-29,1167573.1947111988
2020-06-30,1171264.6315160133
2020-07-01,1174372.6413438425
2020-07-02,1179086.524380891
2020-07-06,1195900.1459686442
2020-07-07,1171518.3251054278
2020-07-08,1180310.1277578557
2020-07-09,1158095.478744524
2020-07-10,1174954.9186454893
2020-07-13,1175767.4112121493
2020-07-14,1200504.659102386
2020-07-15,1215726.7235492226
2020-07-16,1204209.7374469372
2020-07-17,1198245.3247051924
2020-07-20,1194511.7427337463
2020-07-21,1204535.6075139071
2020-07-22,1214749.9402290827
2020-07-23,1199819.3336528535
2020-07-24,1189340.168535008
2020-07-27,1183396.341181547
2020-07-28,1183393.786009645
2020-07-29,1191697.2339894073
2020-07-30,1180464.753091766
2020-07-31,1170372.280997645
2020-08-03,1185306.6276301506
2020-08-04,1190524.9557590778
2020-08-05,1216108.514491863
2020-08-06,1213506.5962681663
2020-08-07,1221886.9834795732
2020-08-10,1241405.474183709
2020-08-11,1235763.3407433936
2020-08-12,1245319.181751826
2020-08-13,1238271.908965677
2020-08-14,1248419.8590220383
2020-08-17,1240217.655354085
2020-08-18,1231540.4938458756
2020-08-19,1228005.9424261558
2020-08-20,1223464.534081021
2020-08-21,1222828.6428644073
2020-08-24,1242324.9874699991
2020-08-25,1244594.688244336
2020-08-26,1240525.1497569282
2020-08-27,1234818.1125162342
2020-08-28,1237803.1411035622
2020-08-31,1233525.3929359235
2020-09-01,1231139.9539975843
2020-09-02,1253466.387414872
2020-09-03,1215178.8911488657
2020-09-04,1203536.3745023983
2020-09-08,1175919.9542487096
2020-09-09,1197383.2498307617
2020-09-10,1180423.622802199
2020-09-11,1183047.1156458014
2020-09-14,1203233.277947088
2020-09-15,1198943.964133476
2020-09-16,1201021.499594305
2020-09-17,1196712.8420265417
2020-09-18,1191074.801071412
2020-09-21,1165648.543002923
2020-09-22,1162000.6841175794
2020-09-23,1143718.7260393838
2020-09-24,1131860.4695894346
2020-09-25,1164362.5397681568
2020-09-28,1190205.0958102427
2020-09-29,1182711.4355825146
2020-09-30,1198060.157189948
2020-10-01,1207204.0050850848
2020-10-02,1205070.0796824435
2020-10-05,1225636.7187110682
2020-10-06,1201980.578065297
2020-10-07,1229336.066899045
2020-10-08,1247067.0841968716
2020-10-09,1255329.8429446686
2020-10-12,1267390.496816308
2020-10-13,1256882.1013774518
2020-10-14,1251362.3873664197
2020-10-15,1262148.8787188216
2020-10-16,1264371.047279231
2020-10-19,1247815.940361987
2020-10-20,1251053.9302555132
