,account_value,date,daily_return
441,1225668.4699480296,2020-01-03,
442,1221352.2341109898,2020-01-06,-0.0035215361599558
443,1218339.47956821,2020-01-07,-0.0024667368336808
444,1225766.8321258156,2020-01-08,0.0060962914541995
445,1226573.4596684813,2020-01-09,0.0006580595277381
446,1231339.568933185,2020-01-10,0.0038857104131309
447,1235831.193975078,2020-01-13,0.0036477549777633
448,1236272.3066452467,2020-01-14,0.0003569360219415
449,1237356.028179707,2020-01-15,0.0008766042308276
450,1249258.0134363254,2020-01-16,0.0096188849333263
451,1249011.0933158249,2020-01-17,-0.0001976534213466
452,1247854.4060779614,2020-01-21,-0.0009260824375808
453,1249535.22291371,2020-01-22,0.0013469655013931
454,1249037.866336079,2020-01-23,-0.0003980332594956
455,1238999.055635855,2020-01-24,-0.00803723487557
456,1224446.170705607,2020-01-27,-0.0117456787913204
457,1231699.660468426,2020-01-28,0.0059238943584094
458,1232581.1723866009,2020-01-29,0.0007156873923628
459,1230035.937842461,2020-01-30,-0.0020649630232559
460,1205549.674447495,2020-01-31,-0.0199069495789822
461,1211730.7208775145,2020-02-03,0.005127160299597
462,1242302.9152733877,2020-02-04,0.0252301884149088
463,1252948.88179174,2020-02-05,0.0085695416049229
464,1262198.5310671916,2020-02-06,0.0073823037873854
465,1248644.2946504112,2020-02-07,-0.0107385930843385
466,1258951.5962065882,2020-02-10,0.0082547940997581
467,1267536.7288705525,2020-02-11,0.0068192714396904
468,1273744.0896828752,2020-02-12,0.0048971841769458
469,1274559.7411220518,2020-02-13,0.0006403573887276
470,1282321.5568103767,2020-02-14,0.0060898013940811
471,1276276.2363463389,2020-02-18,-0.0047143561082095
472,1284284.7239658914,2020-02-19,0.0062748857899908
473,1278330.6864444262,2020-02-20,-0.0046360728352191
474,1265691.4325812575,2020-02-21,-0.0098873116300788
475,1226169.3694734112,2020-02-24,-0.0312256700886761
476,1183940.595302017,2020-02-25,-0.034439593112271
477,1174190.7659427123,2020-02-26,-0.0082350663521403
478,1123740.9499190997,2020-02-27,-0.042965604471526
479,1111707.4397771584,2020-02-28,-0.0107084378680044
480,1149595.9390866105,2020-03-02,0.0340813580567984
481,1125170.6022176263,2020-03-03,-0.0212468886140906
482,1169480.875394735,2020-03-04,0.0393809375127438
483,1122565.5666360776,2020-03-05,-0.0401163539701511
484,1101369.7826597155,2020-03-06,-0.0188815554354461
485,1015464.1242163436,2020-03-09,-0.0779989244265598
486,1014448.6665359474,2020-03-10,-0.0009999936543105
487,1008722.156817388,2020-03-11,-0.0056449477508937
488,1008629.1460102136,2020-03-12,-9.220656703723408e-05
489,1008629.1460102136,2020-03-13,0.0
490,1008629.1460102136,2020-03-16,0.0
491,1008629.1460102136,2020-03-17,0.0
492,1008629.1460102136,2020-03-18,0.0
493,1008629.1460102136,2020-03-19,0.0
494,1008629.1460102136,2020-03-20,0.0
495,1008629.1460102136,2020-03-23,0.0
496,1008629.1460102136,2020-03-24,0.0
497,1008629.1460102136,2020-03-25,0.0
498,1008629.1460102136,2020-03-26,0.0
499,1008629.1460102136,2020-03-27,0.0
500,1008629.1460102136,2020-03-30,0.0
501,1003429.9946155024,2020-03-31,-0.0051546709861372
502,981796.9874381132,2020-04-01,-0.0215590597186389
503,991391.0488715814,2020-04-02,0.0097719401833802
504,982606.7305756258,2020-04-03,
505,1036627.016939526,2020-04-06,0.0549765075721131
506,1035955.6148022248,2020-04-07,-0.0006476795668354
507,1043616.5035837396,2020-04-08,0.0073949971138267
508,1047882.7267481552,2020-04-09,0.0040879222873204
509,1037309.071952945,2020-04-13,-0.0100904944086852
510,1055604.898346221,2020-04-14,0.0176377772912277
511,1035280.4663250725,2020-04-15,-0.0192538250371803
512,1047932.4213029492,2020-04-16,0.0122207994735834
513,1075933.0535240066,2020-04-17,0.0267198835076052
514,1055617.4300701015,2020-04-20,-0.0188818657325986
515,1025045.6533412464,2020-04-21,-0.0289610382113764
516,1049213.466105576,2020-04-22,0.0235773037869604
517,1052412.3106258595,2020-04-23,0.0030488023873318
518,1069466.6733723271,2020-04-24,0.0162050201943433
519,1097317.8954143708,2020-04-27,0.0260421598311437
520,1080126.060427852,2020-04-28,-0.0156671417265339
521,1103754.4233130754,2020-04-29,0.0218755604099247
