,date,account_value
424,2019-09-10,973026.2378143466
425,2019-09-11,980238.146989073
426,2019-09-12,970502.8675885794
427,2019-09-13,978489.8287491667
428,2019-09-16,975172.9441844762
429,2019-09-17,975932.5845275422
430,2019-09-18,953164.2532554171
431,2019-09-19,958585.7286983035
432,2019-09-20,954045.0670390627
433,2019-09-23,943649.4668326876
434,2019-09-24,931964.9666247866
435,2019-09-25,933052.5819716952
436,2019-09-26,922371.9718099138
437,2019-09-27,918963.5528550646
438,2019-09-30,927636.0540547869
439,2019-10-01,919850.3564887545
440,2019-10-02,912363.7925267718
441,2019-10-03,913070.5770221255
442,2019-10-04,927186.3480906985
443,2019-10-07,928404.6191974184
444,2019-10-08,916305.9067178271
445,2019-10-09,924918.1599650881
446,2019-10-10,934501.3912930986
447,2019-10-11,939037.3607163928
448,2019-10-14,936059.8025918963
449,2019-10-15,975010.5072008135
450,2019-10-16,971482.848287201
451,2019-10-17,987526.1694503786
452,2019-10-18,990481.5335098269
453,2019-10-21,991321.3700347902
454,2019-10-22,1003181.6146742929
455,2019-10-23,997757.7370151733
456,2019-10-24,994424.3093466742
457,2019-10-25,1000348.0668990214
458,2019-10-28,1004591.9151187213
459,2019-10-29,1014255.0729381201
460,2019-10-30,1017298.1517914527
461,2019-10-31,1005791.0686768286
462,2019-11-01,1011181.2157496207
463,2019-11-04,1025067.8515013449
464,2019-11-05,1024961.9636429541
465,2019-11-06,1022569.3962525828
466,2019-11-07,1033441.3028297884
467,2019-11-08,1033705.9108086092
468,2019-11-11,1031300.3940735323
469,2019-11-12,1033010.0759371007
470,2019-11-13,1023351.1387175572
471,2019-11-14,1029123.7651137364
472,2019-11-15,1052730.6744479192
473,2019-11-18,1059170.5367621435
474,2019-11-19,1056392.047960187
475,2019-11-20,1055360.1113089575
476,2019-11-21,1052789.075029279
477,2019-11-22,1057873.7168253912
478,2019-11-25,1076231.4952639593
479,2019-11-26,1077435.0555418981
480,2019-11-27,1075833.4380282415
481,2019-11-29,1070208.876909162
482,2019-12-02,1063615.511270429
483,2019-12-03,1050121.7970332159
484,2019-12-04,1059601.8347300543
485,2019-12-05,1066384.209361936
486,2019-12-06,1071474.669441129
487,2019-12-09,1066096.978723432
488,2019-12-10,1068535.6200675024
489,2019-12-11,1073574.423538114
490,2019-12-12,1090562.0210436834
491,2019-12-13,1092702.5407084478
492,2019-12-16,1104135.2312907232
493,2019-12-17,1100348.9865778936
494,2019-12-18,1088932.9508837713
495,2019-12-19,1093985.9862212194
496,2019-12-20,1095899.9171198858
497,2019-12-23,1102551.7783583654
498,2019-12-24,1100252.2951106085
499,2019-12-26,1105017.9844912542
500,2019-12-27,1105992.19374838
501,2019-12-30,1098394.635274793
502,2019-12-31,1101460.8989657415
503,2020-01-02,1103868.7148283971
504,2020-01-03,1093949.989408399
505,2020-01-06,1098795.6413973821
506,2020-01-07,1097336.0833701147
507,2020-01-08,1108471.5169371618
508,2020-01-09,1106232.8732298864
509,2020-01-10,1105075.4604166998
510,2020-01-13,1096323.3137759222
